Cancer Type,Gender,Race,Year,Survival Rate
Bladder,females,White,1977,0.703
Bladder,females,White,1980,0.723
Bladder,females,White,1983,0.74
Bladder,females,White,1986,0.736
Bladder,females,White,1989,0.731
Bladder,females,White,1992,0.731
Bladder,females,White,1995,0.769
Bladder,females,White,1998,0.759
Bladder,females,White,2001,0.794
Bladder,females,White,2006,0.76
Bladder,females,White,2013,0.754
Bladder,males,White,1963,0.53
Bladder,males,White,1973,0.61
Bladder,males,White,1977,0.743
Bladder,males,White,1980,0.754
Bladder,males,White,1983,0.786
Bladder,males,White,1986,0.784
Bladder,males,White,1989,0.819
Bladder,males,White,1992,0.826
Bladder,males,White,1995,0.825
Bladder,males,White,1998,0.811
Bladder,males,White,2001,0.815
Bladder,males,White,2006,0.826
Bladder,males,White,2013,0.796
Bladder,total,White,1963,0.53
Bladder,total,White,1973,0.61
Bladder,total,White,1977,0.733
Bladder,total,White,1980,0.747
Bladder,total,White,1983,0.774
Bladder,total,White,1986,0.772
Bladder,total,White,1989,0.798
Bladder,total,White,1992,0.802
Bladder,total,White,1995,0.81
Bladder,total,White,1998,0.798
Bladder,total,White,2001,0.81
Bladder,total,White,2006,0.809
Bladder,total,White,2013,0.786
Brain and nervous system,females,All races,1977,0.248
Brain and nervous system,females,All races,1980,0.251
Brain and nervous system,females,All races,1983,0.255
Brain and nervous system,females,All races,1986,0.285
Brain and nervous system,females,All races,1989,0.31
Brain and nervous system,females,All races,1992,0.297
Brain and nervous system,females,All races,1995,0.313
Brain and nervous system,females,All races,1998,0.32
Brain and nervous system,females,All races,2001,0.376
Brain and nervous system,females,All races,2006,0.36
Brain and nervous system,females,All races,2013,0.362
Brain and nervous system,males,All races,1977,0.207
Brain and nervous system,males,All races,1980,0.224
Brain and nervous system,males,All races,1983,0.23
Brain and nervous system,males,All races,1986,0.256
Brain and nervous system,males,All races,1989,0.273
Brain and nervous system,males,All races,1992,0.305
Brain and nervous system,males,All races,1995,0.329
Brain and nervous system,males,All races,1998,0.306
Brain and nervous system,males,All races,2001,0.309
Brain and nervous system,males,All races,2006,0.344
Brain and nervous system,males,All races,2013,0.337
Brain and nervous system,total,All races,1977,0.225
Brain and nervous system,total,All races,1980,0.236
Brain and nervous system,total,All races,1983,0.241
Brain and nervous system,total,All races,1986,0.269
Brain and nervous system,total,All races,1989,0.289
Brain and nervous system,total,All races,1992,0.302
Brain and nervous system,total,All races,1995,0.322
Brain and nervous system,total,All races,1998,0.313
Brain and nervous system,total,All races,2001,0.338
Brain and nervous system,total,All races,2006,0.351
Brain and nervous system,total,All races,2013,0.359
Brain and nervous system,females,Black,1963,0.21
Brain and nervous system,females,Black,1973,0.19
Brain and nervous system,females,Black,1977,0.347
Brain and nervous system,females,Black,1980,0.275
Brain and nervous system,females,Black,1983,0.292
Brain and nervous system,females,Black,1986,0.291
Brain and nervous system,females,Black,1989,0.293
Brain and nervous system,females,Black,1992,0.381
Brain and nervous system,females,Black,1995,0.368
Brain and nervous system,females,Black,1998,0.383
Brain and nervous system,females,Black,2001,0.451
Brain and nervous system,females,Black,2006,0.463
Brain and nervous system,females,Black,2013,0.419
Brain and nervous system,males,Black,1963,0.17
Brain and nervous system,males,Black,1973,0.19
Brain and nervous system,males,Black,1977,0.196
Brain and nervous system,males,Black,1980,0.287
Brain and nervous system,males,Black,1983,0.317
Brain and nervous system,males,Black,1986,0.328
Brain and nervous system,males,Black,1989,0.337
Brain and nervous system,males,Black,1992,0.402
Brain and nervous system,males,Black,1995,0.461
Brain and nervous system,males,Black,1998,0.336
Brain and nervous system,males,Black,2001,0.334
Brain and nervous system,males,Black,2006,0.342
Brain and nervous system,males,Black,2013,0.419
Brain and nervous system,total,Black,1963,0.19
Brain and nervous system,total,Black,1973,0.19
Brain and nervous system,total,Black,1977,0.254
Brain and nervous system,total,Black,1980,0.282
Brain and nervous system,total,Black,1983,0.308
Brain and nervous system,total,Black,1986,0.312
Brain and nervous system,total,Black,1989,0.317
Brain and nervous system,total,Black,1992,0.393
Brain and nervous system,total,Black,1995,0.417
Brain and nervous system,total,Black,1998,0.359
Brain and nervous system,total,Black,2001,0.384
Brain and nervous system,total,Black,2006,0.402
Brain and nervous system,total,Black,2013,0.419
Brain and nervous system,females,White,1963,0.21
Brain and nervous system,females,White,1973,0.22
Brain and nervous system,females,White,1977,0.241
Brain and nervous system,females,White,1980,0.244
Brain and nervous system,females,White,1983,0.246
Brain and nervous system,females,White,1986,0.278
Brain and nervous system,females,White,1989,0.308
Brain and nervous system,females,White,1992,0.289
Brain and nervous system,females,White,1995,0.303
Brain and nervous system,females,White,1998,0.31
Brain and nervous system,females,White,2001,0.365
Brain and nervous system,females,White,2006,0.34
Brain and nervous system,females,White,2013,0.35
Brain and nervous system,males,White,1963,0.16
Brain and nervous system,males,White,1973,0.18
Brain and nervous system,males,White,1977,0.202
Brain and nervous system,males,White,1980,0.22
Brain and nervous system,males,White,1983,0.224
Brain and nervous system,males,White,1986,0.248
Brain and nervous system,males,White,1989,0.263
Brain and nervous system,males,White,1992,0.294
Brain and nervous system,males,White,1995,0.313
Brain and nervous system,males,White,1998,0.301
Brain and nervous system,males,White,2001,0.304
Brain and nervous system,males,White,2006,0.339
Brain and nervous system,males,White,2013,0.322
Brain and nervous system,total,White,1963,0.18
Brain and nervous system,total,White,1973,0.2
Brain and nervous system,total,White,1977,0.219
Brain and nervous system,total,White,1980,0.23
Brain and nervous system,total,White,1983,0.234
Brain and nervous system,total,White,1986,0.261
Brain and nervous system,total,White,1989,0.283
Brain and nervous system,total,White,1992,0.292
Brain and nervous system,total,White,1995,0.309
Brain and nervous system,total,White,1998,0.305
Brain and nervous system,total,White,2001,0.33
Brain and nervous system,total,White,2006,0.339
Brain and nervous system,total,White,2013,0.334
Breast,females,All races,1977,0.748
Breast,females,All races,1980,0.744
Breast,females,All races,1983,0.761
Breast,females,All races,1986,0.789
Breast,females,All races,1989,0.84
Breast,females,All races,1992,0.852
Breast,females,All races,1995,0.864
Breast,females,All races,1998,0.882
Breast,females,All races,2001,0.897
Breast,females,All races,2006,0.902
Breast,females,All races,2013,0.911
Breast,total,All races,1977,0.748
Breast,total,All races,1980,0.744
Breast,total,All races,1983,0.761
Breast,total,All races,1986,0.789
Breast,total,All races,1989,0.84
Breast,total,All races,1992,0.852
Breast,total,All races,1995,0.864
Breast,total,All races,1998,0.882
Breast,total,All races,2001,0.897
Breast,total,All races,2006,0.902
Breast,total,All races,2013,0.911
Breast,females,Black,1963,0.46
Breast,females,Black,1973,0.51
Breast,females,Black,1977,0.622
Breast,females,Black,1980,0.634
Breast,females,Black,1983,0.634
Breast,females,Black,1986,0.651
Breast,females,Black,1989,0.711
Breast,females,Black,1992,0.715
Breast,females,Black,1995,0.727
Breast,females,Black,1998,0.762
Breast,females,Black,2001,0.789
Breast,females,Black,2006,0.779
Breast,females,Black,2013,0.827
Breast,total,Black,1963,0.46
Breast,total,Black,1973,0.51
Breast,total,Black,1977,0.622
Breast,total,Black,1980,0.634
Breast,total,Black,1983,0.634
Breast,total,Black,1986,0.651
Breast,total,Black,1989,0.711
Breast,total,Black,1992,0.715
Breast,total,Black,1995,0.727
Breast,total,Black,1998,0.762
Breast,total,Black,2001,0.789
Breast,total,Black,2006,0.779
Breast,total,Black,2013,0.827
Breast,females,White,1963,0.63
Breast,females,White,1973,0.68
Breast,females,White,1977,0.756
Breast,females,White,1980,0.751
Breast,females,White,1983,0.771
Breast,females,White,1986,0.8
Breast,females,White,1989,0.851
Breast,females,White,1992,0.865
Breast,females,White,1995,0.876
Breast,females,White,1998,0.894
Breast,females,White,2001,0.908
Breast,females,White,2006,0.917
Breast,females,White,2013,0.922
Breast,total,White,1963,0.63
Breast,total,White,1973,0.68
Breast,total,White,1977,0.756
Breast,total,White,1980,0.751
Breast,total,White,1983,0.771
Breast,total,White,1986,0.8
Breast,total,White,1989,0.851
Breast,total,White,1992,0.865
Breast,total,White,1995,0.876
Breast,total,White,1998,0.894
Breast,total,White,2001,0.908
Breast,total,White,2006,0.917
Breast,total,White,2013,0.922
Cervix uteri,females,All races,1977,0.691
Cervix uteri,females,All races,1980,0.674
Cervix uteri,females,All races,1983,0.669
Cervix uteri,females,All races,1986,0.672
Cervix uteri,females,All races,1989,0.701
Cervix uteri,females,All races,1992,0.696
Cervix uteri,females,All races,1995,0.726
Cervix uteri,females,All races,1998,0.726
Cervix uteri,females,All races,2001,0.724
Cervix uteri,females,All races,2006,0.695
Cervix uteri,females,All races,2013,0.688
Cervix uteri,total,All races,1977,0.691
Cervix uteri,total,All races,1980,0.674
Cervix uteri,total,All races,1983,0.669
Cervix uteri,total,All races,1986,0.672
Cervix uteri,total,All races,1989,0.701
Cervix uteri,total,All races,1992,0.696
Cervix uteri,total,All races,1995,0.726
Cervix uteri,total,All races,1998,0.726
Cervix uteri,total,All races,2001,0.724
Cervix uteri,total,All races,2006,0.695
Cervix uteri,total,All races,2013,0.688
Cervix uteri,females,Black,1963,0.47
Cervix uteri,females,Black,1973,0.61
Cervix uteri,females,Black,1977,0.646
Cervix uteri,females,Black,1980,0.61
Cervix uteri,females,Black,1983,0.592
Cervix uteri,females,Black,1986,0.579
Cervix uteri,females,Black,1989,0.57
Cervix uteri,females,Black,1992,0.581
Cervix uteri,females,Black,1995,0.628
Cervix uteri,females,Black,1998,0.648
Cervix uteri,females,Black,2001,0.66
Cervix uteri,females,Black,2006,0.626
Cervix uteri,females,Black,2013,0.583
Cervix uteri,total,Black,1963,0.47
Cervix uteri,total,Black,1973,0.61
Cervix uteri,total,Black,1977,0.646
Cervix uteri,total,Black,1980,0.61
Cervix uteri,total,Black,1983,0.592
Cervix uteri,total,Black,1986,0.579
Cervix uteri,total,Black,1989,0.57
Cervix uteri,total,Black,1992,0.581
Cervix uteri,total,Black,1995,0.628
Cervix uteri,total,Black,1998,0.648
Cervix uteri,total,Black,2001,0.66
Cervix uteri,total,Black,2006,0.626
Cervix uteri,total,Black,2013,0.583
Cervix uteri,females,White,1963,0.58
Cervix uteri,females,White,1973,0.64
Cervix uteri,females,White,1977,0.697
Cervix uteri,females,White,1980,0.681
Cervix uteri,females,White,1983,0.678
Cervix uteri,females,White,1986,0.688
Cervix uteri,females,White,1989,0.725
Cervix uteri,females,White,1992,0.709
Cervix uteri,females,White,1995,0.742
Cervix uteri,females,White,1998,0.736
Cervix uteri,females,White,2001,0.734
Cervix uteri,females,White,2006,0.708
Cervix uteri,females,White,2013,0.708
Cervix uteri,total,White,1963,0.58
Cervix uteri,total,White,1973,0.64
Cervix uteri,total,White,1977,0.697
Cervix uteri,total,White,1980,0.681
Cervix uteri,total,White,1983,0.678
Cervix uteri,total,White,1986,0.688
Cervix uteri,total,White,1989,0.725
Cervix uteri,total,White,1992,0.709
Cervix uteri,total,White,1995,0.742
Cervix uteri,total,White,1998,0.736
Cervix uteri,total,White,2001,0.734
Cervix uteri,total,White,2006,0.708
Cervix uteri,total,White,2013,0.708
Colon and rectum,females,All races,1977,0.506
Colon and rectum,females,All races,1980,0.522
Colon and rectum,females,All races,1983,0.542
Colon and rectum,females,All races,1986,0.576
Colon and rectum,females,All races,1989,0.593
Colon and rectum,females,All races,1992,0.613
Colon and rectum,females,All races,1995,0.6
Colon and rectum,females,All races,1998,0.625
Colon and rectum,females,All races,2001,0.641
Colon and rectum,females,All races,2006,0.66
Colon and rectum,females,All races,2013,0.666
Colon and rectum,males,All races,1977,0.49
Colon and rectum,males,All races,1980,0.502
Colon and rectum,males,All races,1983,0.538
Colon and rectum,males,All races,1986,0.577
Colon and rectum,males,All races,1989,0.598
Colon and rectum,males,All races,1992,0.61
Colon and rectum,males,All races,1995,0.598
Colon and rectum,males,All races,1998,0.624
Colon and rectum,males,All races,2001,0.661
Colon and rectum,males,All races,2006,0.659
Colon and rectum,males,All races,2013,0.661
Colon and rectum,total,All races,1977,0.498
Colon and rectum,total,All races,1980,0.512
Colon and rectum,total,All races,1983,0.54
Colon and rectum,total,All races,1986,0.577
Colon and rectum,total,All races,1989,0.596
Colon and rectum,total,All races,1992,0.612
Colon and rectum,total,All races,1995,0.599
Colon and rectum,total,All races,1998,0.624
Colon and rectum,total,All races,2001,0.651
Colon and rectum,total,All races,2006,0.66
Colon and rectum,total,All races,2013,0.663
Colon and rectum,females,Black,1977,0.459
Colon and rectum,females,Black,1980,0.469
Colon and rectum,females,Black,1983,0.495
Colon and rectum,females,Black,1986,0.49
Colon and rectum,females,Black,1989,0.545
Colon and rectum,females,Black,1992,0.515
Colon and rectum,females,Black,1995,0.521
Colon and rectum,females,Black,1998,0.529
Colon and rectum,females,Black,2001,0.53
Colon and rectum,females,Black,2006,0.591
Colon and rectum,females,Black,2013,0.601
Colon and rectum,males,Black,1977,0.433
Colon and rectum,males,Black,1980,0.434
Colon and rectum,males,Black,1983,0.429
Colon and rectum,males,Black,1986,0.475
Colon and rectum,males,Black,1989,0.499
Colon and rectum,males,Black,1992,0.544
Colon and rectum,males,Black,1995,0.513
Colon and rectum,males,Black,1998,0.551
Colon and rectum,males,Black,2001,0.554
Colon and rectum,males,Black,2006,0.545
Colon and rectum,males,Black,2013,0.575
Colon and rectum,total,Black,1977,0.446
Colon and rectum,total,Black,1980,0.454
Colon and rectum,total,Black,1983,0.465
Colon and rectum,total,Black,1986,0.484
Colon and rectum,total,Black,1989,0.523
Colon and rectum,total,Black,1992,0.529
Colon and rectum,total,Black,1995,0.517
Colon and rectum,total,Black,1998,0.539
Colon and rectum,total,Black,2001,0.541
Colon and rectum,total,Black,2006,0.57
Colon and rectum,total,Black,2013,0.588
Colon and rectum,females,White,1977,0.507
Colon and rectum,females,White,1980,0.525
Colon and rectum,females,White,1983,0.543
Colon and rectum,females,White,1986,0.583
Colon and rectum,females,White,1989,0.595
Colon and rectum,females,White,1992,0.621
Colon and rectum,females,White,1995,0.606
Colon and rectum,females,White,1998,0.632
Colon and rectum,females,White,2001,0.657
Colon and rectum,females,White,2006,0.666
Colon and rectum,females,White,2013,0.673
Colon and rectum,males,White,1977,0.493
Colon and rectum,males,White,1980,0.506
Colon and rectum,males,White,1983,0.545
Colon and rectum,males,White,1986,0.585
Colon and rectum,males,White,1989,0.605
Colon and rectum,males,White,1992,0.617
Colon and rectum,males,White,1995,0.603
Colon and rectum,males,White,1998,0.628
Colon and rectum,males,White,2001,0.674
Colon and rectum,males,White,2006,0.674
Colon and rectum,males,White,2013,0.67
Colon and rectum,total,White,1977,0.501
Colon and rectum,total,White,1980,0.516
Colon and rectum,total,White,1983,0.544
Colon and rectum,total,White,1986,0.584
Colon and rectum,total,White,1989,0.6
Colon and rectum,total,White,1992,0.619
Colon and rectum,total,White,1995,0.605
Colon and rectum,total,White,1998,0.63
Colon and rectum,total,White,2001,0.665
Colon and rectum,total,White,2006,0.67
Colon and rectum,total,White,2013,0.671
Esophagus,females,All races,1977,0.075
Esophagus,females,All races,1980,0.056
Esophagus,females,All races,1983,0.082
Esophagus,females,All races,1986,0.121
Esophagus,females,All races,1989,0.095
Esophagus,females,All races,1992,0.134
Esophagus,females,All races,1995,0.117
Esophagus,females,All races,1998,0.144
Esophagus,females,All races,2001,0.195
Esophagus,females,All races,2006,0.189
Esophagus,females,All races,2013,0.223
Esophagus,males,All races,1977,0.04
Esophagus,males,All races,1980,0.048
Esophagus,males,All races,1983,0.06
Esophagus,males,All races,1986,0.084
Esophagus,males,All races,1989,0.094
Esophagus,males,All races,1992,0.117
Esophagus,males,All races,1995,0.122
Esophagus,males,All races,1998,0.13
Esophagus,males,All races,2001,0.176
Esophagus,males,All races,2006,0.187
Esophagus,males,All races,2013,0.206
Esophagus,total,All races,1977,0.05
Esophagus,total,All races,1980,0.05
Esophagus,total,All races,1983,0.066
Esophagus,total,All races,1986,0.095
Esophagus,total,All races,1989,0.094
Esophagus,total,All races,1992,0.122
Esophagus,total,All races,1995,0.121
Esophagus,total,All races,1998,0.134
Esophagus,total,All races,2001,0.181
Esophagus,total,All races,2006,0.187
Esophagus,total,All races,2013,0.21
Esophagus,females,Black,1963,0.02
Esophagus,females,Black,1973,0.03
Esophagus,females,Black,1977,0.077
Esophagus,females,Black,1980,0.068
Esophagus,females,Black,1983,0.065
Esophagus,females,Black,1986,0.099
Esophagus,females,Black,1989,0.102
Esophagus,females,Black,1992,0.084
Esophagus,females,Black,1995,0.069
Esophagus,females,Black,1998,0.136
Esophagus,females,Black,2001,0.163
Esophagus,females,Black,2006,0.166
Esophagus,females,Black,2013,0.138
Esophagus,males,Black,1963,0
Esophagus,males,Black,1973,0.04
Esophagus,males,Black,1977,0.02
Esophagus,males,Black,1980,0.034
Esophagus,males,Black,1983,0.037
Esophagus,males,Black,1986,0.082
Esophagus,males,Black,1989,0.053
Esophagus,males,Black,1992,0.097
Esophagus,males,Black,1995,0.078
Esophagus,males,Black,1998,0.085
Esophagus,males,Black,2001,0.106
Esophagus,males,Black,2006,0.113
Esophagus,males,Black,2013,0.103
Esophagus,total,Black,1963,0.01
Esophagus,total,Black,1973,0.04
Esophagus,total,Black,1977,0.035
Esophagus,total,Black,1980,0.043
Esophagus,total,Black,1983,0.043
Esophagus,total,Black,1986,0.087
Esophagus,total,Black,1989,0.066
Esophagus,total,Black,1992,0.094
Esophagus,total,Black,1995,0.076
Esophagus,total,Black,1998,0.102
Esophagus,total,Black,2001,0.125
Esophagus,total,Black,2006,0.132
Esophagus,total,Black,2013,0.117
Esophagus,females,White,1963,0.06
Esophagus,females,White,1973,0.04
Esophagus,females,White,1977,0.07
Esophagus,females,White,1980,0.052
Esophagus,females,White,1983,0.09
Esophagus,females,White,1986,0.13
Esophagus,females,White,1989,0.092
Esophagus,females,White,1992,0.148
Esophagus,females,White,1995,0.127
Esophagus,females,White,1998,0.147
Esophagus,females,White,2001,0.197
Esophagus,females,White,2006,0.194
Esophagus,females,White,2013,0.234
Esophagus,males,White,1963,0.04
Esophagus,males,White,1973,0.04
Esophagus,males,White,1977,0.048
Esophagus,males,White,1980,0.053
Esophagus,males,White,1983,0.065
Esophagus,males,White,1986,0.09
Esophagus,males,White,1989,0.11
Esophagus,males,White,1992,0.122
Esophagus,males,White,1995,0.136
Esophagus,males,White,1998,0.139
Esophagus,males,White,2001,0.186
Esophagus,males,White,2006,0.2
Esophagus,males,White,2013,0.22
Esophagus,total,White,1963,0.04
Esophagus,total,White,1973,0.04
Esophagus,total,White,1977,0.055
Esophagus,total,White,1980,0.053
Esophagus,total,White,1983,0.073
Esophagus,total,White,1986,0.102
Esophagus,total,White,1989,0.105
Esophagus,total,White,1992,0.129
Esophagus,total,White,1995,0.134
Esophagus,total,White,1998,0.141
Esophagus,total,White,2001,0.189
Esophagus,total,White,2006,0.199
Esophagus,total,White,2013,0.223
Leukemia,females,All races,1977,0.356
Leukemia,females,All races,1980,0.373
Leukemia,females,All races,1983,0.378
Leukemia,females,All races,1986,0.411
Leukemia,females,All races,1989,0.413
Leukemia,females,All races,1992,0.46
Leukemia,females,All races,1995,0.464
Leukemia,females,All races,1998,0.48
Leukemia,females,All races,2001,0.495
Leukemia,females,All races,2006,0.589
Leukemia,females,All races,2013,0.617
Leukemia,males,All races,1977,0.33
Leukemia,males,All races,1980,0.35
Leukemia,males,All races,1983,0.369
Leukemia,males,All races,1986,0.401
Leukemia,males,All races,1989,0.44
Leukemia,males,All races,1992,0.446
Leukemia,males,All races,1995,0.484
Leukemia,males,All races,1998,0.485
Leukemia,males,All races,2001,0.519
Leukemia,males,All races,2006,0.599
Leukemia,males,All races,2013,0.652
Leukemia,total,All races,1977,0.341
Leukemia,total,All races,1980,0.36
Leukemia,total,All races,1983,0.373
Leukemia,total,All races,1986,0.405
Leukemia,total,All races,1989,0.429
Leukemia,total,All races,1992,0.452
Leukemia,total,All races,1995,0.475
Leukemia,total,All races,1998,0.483
Leukemia,total,All races,2001,0.509
Leukemia,total,All races,2006,0.595
Leukemia,total,All races,2013,0.637
Leukemia,females,Black,1977,0.367
Leukemia,females,Black,1980,0.293
Leukemia,females,Black,1983,0.343
Leukemia,females,Black,1986,0.341
Leukemia,females,Black,1989,0.378
Leukemia,females,Black,1992,0.413
Leukemia,females,Black,1995,0.409
Leukemia,females,Black,1998,0.38
Leukemia,females,Black,2001,0.419
Leukemia,females,Black,2006,0.508
Leukemia,females,Black,2013,0.561
Leukemia,males,Black,1977,0.304
Leukemia,males,Black,1980,0.273
Leukemia,males,Black,1983,0.334
Leukemia,males,Black,1986,0.315
Leukemia,males,Black,1989,0.327
Leukemia,males,Black,1992,0.305
Leukemia,males,Black,1995,0.416
Leukemia,males,Black,1998,0.39
Leukemia,males,Black,2001,0.445
Leukemia,males,Black,2006,0.553
Leukemia,males,Black,2013,0.59
Leukemia,total,Black,1977,0.334
Leukemia,total,Black,1980,0.282
Leukemia,total,Black,1983,0.339
Leukemia,total,Black,1986,0.327
Leukemia,total,Black,1989,0.35
Leukemia,total,Black,1992,0.357
Leukemia,total,Black,1995,0.413
Leukemia,total,Black,1998,0.386
Leukemia,total,Black,2001,0.433
Leukemia,total,Black,2006,0.533
Leukemia,total,Black,2013,0.578
Leukemia,females,White,1977,0.358
Leukemia,females,White,1980,0.38
Leukemia,females,White,1983,0.385
Leukemia,females,White,1986,0.42
Leukemia,females,White,1989,0.417
Leukemia,females,White,1992,0.468
Leukemia,females,White,1995,0.475
Leukemia,females,White,1998,0.497
Leukemia,females,White,2001,0.506
Leukemia,females,White,2006,0.598
Leukemia,females,White,2013,0.63
Leukemia,males,White,1977,0.336
Leukemia,males,White,1980,0.358
Leukemia,males,White,1983,0.378
Leukemia,males,White,1986,0.413
Leukemia,males,White,1989,0.455
Leukemia,males,White,1992,0.462
Leukemia,males,White,1995,0.494
Leukemia,males,White,1998,0.496
Leukemia,males,White,2001,0.529
Leukemia,males,White,2006,0.608
Leukemia,males,White,2013,0.66
Leukemia,total,White,1963,0.14
